Postcode,1-room,2-room,3-room,4-room,5-room,Executive,HUDC,Multi-generation,Studio Apartment,Type S1,Type S2,X,Y,Latitude,Longitude
310107,0,0,96,0,0,0,0,0,0,0,0,29555.31578,35932.31645,1.341233588,103.847294
310108,0,0,118,0,1,0,0,0,0,0,0,29555.44084,35967.58329,1.341552529,103.8472951
310109,0,0,99,0,0,0,0,0,0,0,0,29433.83686,35932.72301,1.341237271,103.8462025
310110,0,0,118,0,1,0,0,0,0,0,0,29454.25679,35967.60723,1.341552751,103.8463859
310111,0,0,93,0,3,0,0,0,0,0,0,29334.08572,35932.70782,1.341237138,103.8453061
310112,0,0,118,0,1,0,0,0,0,0,0,29354.50447,35967.67842,1.341553399,103.8454896
310113,0,0,120,0,0,0,0,0,0,0,0,29256.11064,35937.81621,1.34128334,103.8446055
310114,0,0,120,0,0,0,0,0,0,0,0,29222.77243,35899.88973,1.340940348,103.8443059
310115,0,0,120,0,0,0,0,0,0,0,0,29222.69497,35865.72858,1.340631407,103.8443052
310116,0,0,291,0,0,0,0,0,0,0,0,29427.16613,35848.19967,1.340472872,103.8461425
310117,0,0,112,0,4,0,0,0,0,0,0,29346.06721,35798.1933,1.340020636,103.8454138
310118,0,0,116,0,2,0,0,0,0,0,0,29288.17534,35747.59183,1.339563017,103.8448936
310119,0,0,114,0,3,0,0,0,0,0,0,29265.22609,35697.41517,1.339109238,103.8446874
310120,0,160,0,0,0,0,0,0,0,0,0,29362.66415,35700.34054,1.33913569,103.8455629
310121,0,0,0,48,58,0,0,0,0,0,0,29438.40978,35703.31909,1.339162623,103.8462435
310122,0,0,0,91,77,0,0,0,0,0,0,29442.60011,35774.37633,1.33980524,103.8462812
310123,0,0,128,0,0,0,0,0,0,0,0,29378.34775,35646.52691,1.338649018,103.8457038
310124,0,0,130,0,1,0,0,0,0,0,0,29258.54004,35646.49861,1.338648767,103.8446273
310125,0,0,164,0,0,0,0,0,0,0,0,29382.05076,35611.39907,1.338331334,103.8457371
310126,0,0,196,0,2,0,0,0,0,0,0,29314.58022,35554.26719,1.337814657,103.8451309
310128,0,0,200,0,0,0,0,0,0,0,0,29225.66856,35554.07847,1.337812954,103.8443319
310142,0,0,0,115,58,0,0,0,0,0,0,29318.15868,35335.67099,1.33583775,103.845163
310143,0,0,0,107,76,0,0,0,0,0,0,29187.7656,35340.82363,1.335884354,103.8439913
310144,0,0,0,107,76,0,0,0,0,0,0,29191.75095,35281.81859,1.335350733,103.8440271
310145,0,0,0,195,39,0,0,0,0,0,0,29429.44219,35266.29735,1.335210354,103.8461629
310146,0,0,0,195,39,0,0,0,0,0,0,29461.54163,35205.89492,1.334664095,103.8464514
310147,0,0,0,156,73,0,0,0,0,0,0,29308.66643,35192.92782,1.334546832,103.8450777
310148,0,180,0,0,0,0,0,0,0,0,0,29145.15711,35208.14172,1.334684427,103.8436085
310149,0,180,0,0,0,0,0,0,0,0,0,29162.10343,35108.67855,1.333784917,103.8437607
310150,0,180,0,0,0,0,0,0,0,0,0,29246.18096,35108.70975,1.333785196,103.8445162
310152,0,0,0,156,73,0,0,0,0,0,0,29399.19424,35150.93783,1.334167085,103.8458911
310153,0,0,0,29,111,0,0,0,0,0,0,29380.56878,35084.97875,1.333570575,103.8457238
310154,0,0,0,53,87,0,0,0,0,0,0,29429.74254,35053.71449,1.33328783,103.8461656
310155,0,0,0,140,0,0,0,0,0,0,0,29365.52974,34999.36451,1.332796311,103.8455886
310156,0,0,0,88,32,0,0,0,0,0,0,29323.0456,34973.75747,1.332564732,103.8452069
310157,0,0,346,0,7,0,0,0,0,0,0,29350.41951,34934.11994,1.332206263,103.8454529
310158,0,0,150,0,2,0,0,0,0,0,0,29306.10155,34852.26632,1.33146601,103.8450546
310159,0,0,154,0,0,0,0,0,0,0,0,29366.93051,34772.58815,1.330745426,103.8456012
310160,0,176,0,0,0,0,0,0,0,0,0,29302.29284,34794.57327,1.330944255,103.8450204
310161,0,176,0,0,0,0,0,0,0,0,0,29300.42615,34746.48075,1.330509323,103.8450036
310163,0,0,132,0,0,0,0,0,0,0,0,29200.41928,34918.01328,1.332060607,103.844105
310168,0,0,120,0,2,0,0,0,0,0,0,29124.54498,34885.48449,1.331766431,103.8434232
310169,0,0,130,0,1,0,0,0,0,0,0,29042.08779,34881.4159,1.331729639,103.8426823
310170,308,0,0,0,0,0,0,0,0,0,0,29040.57285,34836.03944,1.33131927,103.8426687
310171,0,0,0,67,93,0,0,0,0,0,0,29039.49431,34765.9437,1.330685349,103.842659
310172,0,0,0,21,48,0,0,0,0,0,0,29083.38376,34729.40382,1.330354894,103.8430534
310173,0,0,218,0,1,0,0,0,0,0,0,29025.46304,34691.06782,1.330008199,103.8425329
310174,0,0,122,0,5,0,0,0,0,0,0,28957.01914,34764.47803,1.330672097,103.8419179
